model,condition,seed,temperature,gold_family,n,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
deepseek-r1:1.5b,direct,44,0.0,arc,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6309269499615766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.30000000000000004,0.2,0.4,0.30000000000000004,0.2,0.4,0.10795174655783402
deepseek-r1:1.5b,direct,44,0.0,bar,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0054685999639332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.17491053656067107
deepseek-r1:1.5b,direct,44,0.0,boxplot,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.393008324987022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,0.4,0.6,0.5,0.4,0.6,0.17950201295975116
deepseek-r1:1.5b,direct,44,0.0,point,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8978716666654993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.13333333333333333,0.0,0.2,0.13333333333333333,0.0,0.2,0.047202181179972366
deepseek-r1:1.5b,staged,44,0.0,arc,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.151731449936051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.30000000000000004,0.2,0.4,0.30000000000000004,0.2,0.4,0.10795174655783402
deepseek-r1:1.5b,staged,44,0.0,bar,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.799402500037104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.17491053656067107
deepseek-r1:1.5b,staged,44,0.0,boxplot,4,1.0,2.0,0.0,0.0,0.0,0.0,0.0,13.373417249997146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.4,0.6,0.5,0.4,0.6,0.24866900725264451
deepseek-r1:1.5b,staged,44,0.0,point,3,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,10.981868866675844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.13333333333333333,0.0,0.2,0.13333333333333333,0.0,0.2,0.06637697320055952
gemma3:27b,direct,44,0.0,arc,2,1.0,3.0,0.5,0.5,0.0,1.0,0.0,9.575306800019462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.3333333333333333,1.0,0.7166666666666667,0.6,0.8333333333333334,0.7166666666666667,0.6,0.8333333333333334,0.40512417752065155
gemma3:27b,direct,44,0.0,bar,1,1.0,5.0,5.0,1.0,1.0,1.0,1.0,12.650385200046003,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,0.8,0.8,0.8,1.0,1.0,1.0,0.7072044253009147
gemma3:27b,direct,44,0.0,boxplot,4,1.0,3.75,0.5,0.25,0.0,0.75,0.0,15.715703324967762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.7666666666666666,0.6658333333333334,0.8666666666666665,0.7666666666666666,0.6666666666666666,0.8666666666666665,0.5771052960481361
gemma3:27b,direct,44,0.0,point,3,1.0,4.0,2.3333333333333335,0.6666666666666666,0.0,1.0,0.3333333333333333,12.256543066663047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6746031746031745,0.0,0.0,0.6666666666666666,0.3349206349206349,0.3,0.37142857142857144,0.4238095238095238,0.37142857142857144,0.5,0.2725085648179017
gemma3:27b,staged,44,0.0,arc,2,1.0,1.0,0.5,0.5,0.0,1.0,0.5,44.47000705002574,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.125,0.5,0.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.8,0.6,1.0,0.8,0.6,1.0,0.35329510750529647
gemma3:27b,staged,44,0.0,bar,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.36172139993869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.2513520102235351
gemma3:27b,staged,44,0.0,boxplot,4,1.0,1.0,0.5,0.5,0.0,1.0,0.5,51.62988990001031,0.25,0.0,0.75,0.25,0.25,0.0,0.75,0.0625,0.25,0.0,0.75,0.25,0.25,0.25,1.0,0.8333333333333333,0.41666666666666663,0.5,1.0,0.75,0.5666666666666667,0.9333333333333333,0.75,0.5666666666666667,0.9333333333333333,0.29700616418860354
gemma3:27b,staged,44,0.0,point,3,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.6666666666666666,50.39405649997449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6857142857142857,0.0,0.0,0.6666666666666666,0.33714285714285713,0.27999999999999997,0.37142857142857144,0.33714285714285713,0.27999999999999997,0.37142857142857144,0.10901615411413634
llama3.2:3b,direct,44,0.0,arc,2,1.0,3.0,0.0,0.0,0.0,0.0,0.0,10.217510299989954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.21687037263972758
llama3.2:3b,direct,44,0.0,bar,1,1.0,5.0,5.0,1.0,1.0,1.0,1.0,7.70578319998458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.5527661646915731
llama3.2:3b,direct,44,0.0,boxplot,4,1.0,5.0,2.75,1.0,1.0,1.0,0.25,6.0922298000368755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.0,1.0,0.75,0.65,0.8,0.75,0.65,0.8,0.6302860154630985
llama3.2:3b,direct,44,0.0,point,3,1.0,4.333333333333333,2.6666666666666665,0.6666666666666666,0.0,1.0,0.3333333333333333,7.575729900078538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.7555555555555555,0.1111111111111111,0.0,0.6666666666666666,0.37333333333333335,0.36,0.4,0.5066666666666666,0.36,0.6,0.3522027699884699
llama3.2:3b,staged,44,0.0,arc,2,1.0,2.5,0.5,0.5,0.0,1.0,0.0,12.661958599986974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.18,0.08,0.27999999999999997,0.18,0.08,0.27999999999999997,0.11814455300604751
llama3.2:3b,staged,44,0.0,bar,1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,13.625406100065447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.24328084094009544
llama3.2:3b,staged,44,0.0,boxplot,4,1.0,1.75,0.0,0.0,0.0,0.0,0.0,13.115738774969941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.775,0.25,0.25,0.635,0.52,0.8054999999999973,0.635,0.52,0.805,0.3103884665906411
llama3.2:3b,staged,44,0.0,point,3,1.0,3.6666666666666665,1.0,0.6666666666666666,0.0,1.0,0.0,15.556642733320283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.7555555555555555,0.1111111111111111,0.0,0.6666666666666666,0.37333333333333335,0.36,0.4,0.5066666666666666,0.36,0.6,0.33816289224683305
mistral-small:24b,direct,44,0.0,arc,2,1.0,1.5,1.0,1.0,1.0,1.0,0.5,7.7962037500110455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.5,0.5666666666666667,0.4,0.7333333333333333,0.5666666666666667,0.4,0.7333333333333333,0.24557373575267177
mistral-small:24b,direct,44,0.0,bar,1,1.0,5.0,5.0,1.0,1.0,1.0,1.0,22.603417999926023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.6562777569976637
mistral-small:24b,direct,44,0.0,boxplot,4,1.0,4.0,4.0,1.0,1.0,1.0,1.0,24.69219579998753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.0,1.0,0.6499999999999999,0.6,0.7,0.75,0.625,0.925,0.6421846664050838
