model,record_id,gold_family,completed_spec_equal,rendered_svg_equal,rendered_png_equal,baseline_svg_sha256,gold_svg_sha256,baseline_png_sha256,gold_png_sha256,baseline_declared_types,completed_gold_types
mistral-small:24b,nvbench2:dev:232,arc,0,0,0,dfedb73d71f71ce01862ee700e65b28d6f27f78386908526d82f8cdb17a5c6a4,6017d033543de42e3e3b3b33126c8a26df57da42532ac5f25e74a7534604759c,591a6be4f4b51615c9aef0fc489f037235f9bba9bc0f76f61732ef1dc59874f4,079394c51256dc55c00b272f6ab5389961fc086fddc770eb0257d001848c51a4,"{""color"":""nominal"",""theta"":null}","{""color"":""quantitative"",""theta"":""quantitative""}"
mistral-small:24b,nvbench2:dev:278,arc,1,1,1,0ddf91e7d736c7b9503497554425f3c0cb356eb0477a8ccc101d58e76383b8de,0ddf91e7d736c7b9503497554425f3c0cb356eb0477a8ccc101d58e76383b8de,2ce1e99897047aba922affe4dcac140773e89afc3c8e64e7b8d71dde6afb11f2,2ce1e99897047aba922affe4dcac140773e89afc3c8e64e7b8d71dde6afb11f2,"{""color"":""nominal"",""theta"":null}","{""color"":""nominal"",""theta"":""quantitative""}"
mistral-small:24b,nvbench2:dev:319,boxplot,0,0,0,620a06e9a11b60346646ccdc1747ab6e558f2e0ce80d908594b83bdfe6040d39,fa0b0564a14d9426c3e8131818f6e38de7ff9e3a90a70a16918c57845a973292,b2dcd0b0323454fae56c31ec8251af9f930a21c7df8ccc3b07a16bdb4919e016,fe4b23a252754e8ca66ec2ab8753ff7d1c1b754227ccc8ab20c60b5f4c9faafd,"{""x"":""nominal"",""y"":null}","{""x"":""quantitative"",""y"":""quantitative""}"
mistral-small:24b,nvbench2:dev:405,bar,0,0,0,eed9fdacb4a9ac08cf113fe74b49c7a8a1fd94ae41230e437fc163ffd229e47c,5269c572ae87f75edbbed5379e6dc9a8cff4fd17471fb575eabfcb58979d6fe9,eb912d37a8c366e01f603bc611c5bd017f0be5481f83e173e07936f6f394b5c9,8573123cc6fadea86058b08eac027922c3fd3960490dab4ab6435bd889cdab7a,"{""x"":""ordinal"",""y"":null}","{""x"":""quantitative"",""y"":""quantitative""}"
mistral-small:24b,nvbench2:dev:41,arc,1,1,1,b415a0064c8c95950022dd354d9b132f74d6c454beab0a00c6be8c0e303b4216,b415a0064c8c95950022dd354d9b132f74d6c454beab0a00c6be8c0e303b4216,64df5c28559cbd904bef7d557e98bd8e6f5b34eb0a59c420d374b27bea8545c1,64df5c28559cbd904bef7d557e98bd8e6f5b34eb0a59c420d374b27bea8545c1,"{""color"":""nominal"",""theta"":null}","{""color"":""nominal"",""theta"":""quantitative""}"
mistral-small:24b,nvbench2:dev:48,arc,1,1,1,837094b87f0e7c7df085a7e4d49d574f2e52f83c2d71703b9f35d27e6209ee77,837094b87f0e7c7df085a7e4d49d574f2e52f83c2d71703b9f35d27e6209ee77,d593c2efa0a964efb3a10a9daf0cf70c6f0b4d010adc4179714cb9159b6ac16f,d593c2efa0a964efb3a10a9daf0cf70c6f0b4d010adc4179714cb9159b6ac16f,"{""color"":""nominal"",""theta"":null}","{""color"":""nominal"",""theta"":""quantitative""}"
mistral-small:24b,nvbench2:dev:551,line,1,1,1,a5614e0d29ee9ac98ce0c3bbff2f8c805c47da97ae5ed965790c3914730fe0ab,a5614e0d29ee9ac98ce0c3bbff2f8c805c47da97ae5ed965790c3914730fe0ab,89d3602e7af9b133d1ee9672328e3802c8b1dfe7a35471dc8209465355e68b4d,89d3602e7af9b133d1ee9672328e3802c8b1dfe7a35471dc8209465355e68b4d,"{""x"":""nominal"",""y"":null}","{""x"":""nominal"",""y"":""quantitative""}"
mistral-small:24b,nvbench2:dev:562,bar,0,0,0,e74bcf5615ec6e27b7ce7b1346f5380a4d3de6430e3b7ff121981edc487caf7d,e92ca42d175064203e8685d161e43c7418a6899dc77ea53ce950dfcf6bc071b7,62520184dc95e851bc3d388426b8a45b4bda78a39a774cc334d7fb5725463898,302d619f934bbb088ae2bd364fd264ae072e9f0a53dbdaa8fcc7bf94b7ee84a3,"{""x"":""nominal"",""y"":null}","{""x"":""quantitative"",""y"":""quantitative""}"
mistral-small:24b,nvbench2:dev:61,arc,0,0,0,d1df853aa031fedb169747895392ccfe764b29491a7f7f57a32dac6b45e63732,68ab3aee05f3315e33bc947bab36667f135ec1a2cfd46df2b325b68c13fc1a07,95170c81582582ad21aaac2e88d129caf0696cd224f00482855e9981323ab368,86810bbe572a8a2082699fd452648979c7f0d789d594ee524a565be2f2bd13aa,"{""color"":""nominal"",""theta"":null}","{""color"":""quantitative"",""theta"":""quantitative""}"
mistral-small:24b,nvbench2:dev:612,arc,0,0,0,3d70152e0c4a039c95b34960c0ff193ec0fa495ff1ed0296197e0aae20e2d1ca,b31db8a056056dfd8675f9cc6a0acadcc429a0e3e972bf7b1c156381e48cd1f8,7dca7540d40bdf1017a9b0ba964c3592d50c3dfe57638f7fec66837871a6b207,5c595f247abf7399f9c284503e984eab067b57c9cdec2c01a76dc6de2feeddc0,"{""color"":""nominal"",""theta"":null}","{""color"":""quantitative"",""theta"":""quantitative""}"
mistral-small:24b,nvbench2:dev:672,bar,1,1,1,fa67ebf31f766d9a1a79a0dd0548d139df1ceec2ffac8f5c368ce4ad7dd8978e,fa67ebf31f766d9a1a79a0dd0548d139df1ceec2ffac8f5c368ce4ad7dd8978e,51a626b29322c9237a11674b79426062c18bf1ae2da529f94333b5428fd4775e,51a626b29322c9237a11674b79426062c18bf1ae2da529f94333b5428fd4775e,"{""x"":""nominal"",""y"":null}","{""x"":""nominal"",""y"":""quantitative""}"
mistral-small:24b,nvbench2:dev:675,bar,0,0,0,1f4e0a1be72196d0b3b16f7d45a3919ece7ab234e1cc2976b06eea40792108ca,5adf73137e08d0dfbd9232924936c4099522ac56a32d31080fa92c6c72f9af99,702b9702f13988792a7c6450cd2594c2f7067efcc4b8caf3bc544e259382ec08,bbeb9caf33443f89aa6a24bd34464a7ac76b3ed081939018a79737165f601fcb,"{""x"":""nominal"",""y"":null}","{""x"":""quantitative"",""y"":""quantitative""}"
mistral-small:24b,nvbench2:dev:83,arc,1,1,1,793279296e6e791a0de78c0560055e7c86afa9c5161a4f46b679594edc3f799a,793279296e6e791a0de78c0560055e7c86afa9c5161a4f46b679594edc3f799a,c5d3ec03318a9c3da8782276f452299cacfc94280f34a458d531c73b071cb9de,c5d3ec03318a9c3da8782276f452299cacfc94280f34a458d531c73b071cb9de,"{""color"":""nominal"",""theta"":null}","{""color"":""nominal"",""theta"":""quantitative""}"
