source_id,db_id,has_schema,strict_analytic_signature
3,activity_1,True,True
4,activity_1,True,True
5,activity_1,True,True
6,activity_1,True,True
7,activity_1,True,True
8,activity_1,True,True
9,activity_1,True,True
11,activity_1,True,True
12,activity_1,True,True
14,activity_1,True,True
17,activity_1,True,True
19,activity_1,True,True
20,activity_1,True,True
21,activity_1,True,False
22,activity_1,True,False
23,activity_1,True,True
24,activity_1,True,True
25,activity_1,True,True
26,activity_1,True,True
30,activity_1,True,True
31,aircraft,True,True
32,aircraft,True,True
33,aircraft,True,True
34,aircraft,True,True
35,aircraft,True,True
36,aircraft,True,True
37,allergy_1,True,True
38,allergy_1,True,True
39,allergy_1,True,False
41,allergy_1,True,False
42,allergy_1,True,False
44,allergy_1,True,False
45,allergy_1,True,True
46,allergy_1,True,True
47,allergy_1,True,True
48,allergy_1,True,False
49,allergy_1,True,False
50,allergy_1,True,True
51,allergy_1,True,True
52,allergy_1,True,False
53,allergy_1,True,False
54,allergy_1,True,False
55,allergy_1,True,False
56,allergy_1,True,False
57,allergy_1,True,True
58,allergy_1,True,True
59,allergy_1,True,True
60,allergy_1,True,True
61,allergy_1,True,True
62,allergy_1,True,True
63,apartment_rentals,True,True
64,apartment_rentals,True,True
65,apartment_rentals,True,False
66,apartment_rentals,True,False
67,apartment_rentals,True,False
68,apartment_rentals,True,False
69,apartment_rentals,True,False
70,apartment_rentals,True,False
71,apartment_rentals,True,False
72,apartment_rentals,True,False
73,apartment_rentals,True,True
74,apartment_rentals,True,True
75,apartment_rentals,True,False
76,apartment_rentals,True,False
77,apartment_rentals,True,False
78,apartment_rentals,True,False
79,apartment_rentals,True,False
80,apartment_rentals,True,False
81,apartment_rentals,True,False
82,apartment_rentals,True,False
83,apartment_rentals,True,True
84,apartment_rentals,True,True
85,apartment_rentals,True,True
86,apartment_rentals,True,True
87,apartment_rentals,True,True
88,apartment_rentals,True,True
89,apartment_rentals,True,True
90,apartment_rentals,True,True
91,apartment_rentals,True,True
92,apartment_rentals,True,True
93,apartment_rentals,True,True
94,apartment_rentals,True,True
95,apartment_rentals,True,False
96,apartment_rentals,True,False
97,apartment_rentals,True,True
98,apartment_rentals,True,True
99,apartment_rentals,True,True
100,apartment_rentals,True,True
101,apartment_rentals,True,True
102,apartment_rentals,True,True
103,apartment_rentals,True,False
104,apartment_rentals,True,False
108,architecture,True,False
113,architecture,True,True
114,architecture,True,True
115,assets_maintenance,True,True
116,assets_maintenance,True,True
117,assets_maintenance,True,True
118,assets_maintenance,True,True
119,assets_maintenance,True,True
120,assets_maintenance,True,True
121,assets_maintenance,True,True
122,assets_maintenance,True,True
123,assets_maintenance,True,True
124,assets_maintenance,True,True
125,assets_maintenance,True,True
126,assets_maintenance,True,True
127,assets_maintenance,True,True
128,assets_maintenance,True,True
129,assets_maintenance,True,True
130,assets_maintenance,True,True
131,assets_maintenance,True,True
132,assets_maintenance,True,True
133,assets_maintenance,True,True
134,assets_maintenance,True,True
135,assets_maintenance,True,True
136,assets_maintenance,True,True
137,assets_maintenance,True,True
138,assets_maintenance,True,True
139,assets_maintenance,True,True
140,assets_maintenance,True,True
145,assets_maintenance,True,True
146,assets_maintenance,True,True
147,assets_maintenance,True,True
148,assets_maintenance,True,True
149,assets_maintenance,True,True
150,assets_maintenance,True,True
151,baseball_1,True,True
156,baseball_1,True,True
157,baseball_1,True,True
158,baseball_1,True,False
159,baseball_1,True,False
160,baseball_1,True,False
161,baseball_1,True,False
162,baseball_1,True,False
163,baseball_1,True,False
164,baseball_1,True,False
165,baseball_1,True,True
166,baseball_1,True,True
169,baseball_1,True,True
170,baseball_1,True,True
171,baseball_1,True,True
172,battle_death,True,True
173,battle_death,True,False
174,battle_death,True,False
175,battle_death,True,False
178,battle_death,True,True
179,battle_death,True,True
182,behavior_monitoring,True,False
183,behavior_monitoring,True,False
184,behavior_monitoring,True,False
185,behavior_monitoring,True,False
186,behavior_monitoring,True,False
187,behavior_monitoring,True,True
188,behavior_monitoring,True,True
189,behavior_monitoring,True,False
194,behavior_monitoring,True,False
195,behavior_monitoring,True,False
196,behavior_monitoring,True,False
201,behavior_monitoring,True,False
202,behavior_monitoring,True,False
203,behavior_monitoring,True,False
204,behavior_monitoring,True,False
205,behavior_monitoring,True,False
210,behavior_monitoring,True,False
211,behavior_monitoring,True,False
212,behavior_monitoring,True,False
218,behavior_monitoring,True,False
219,behavior_monitoring,True,False
224,behavior_monitoring,True,False
225,behavior_monitoring,True,False
230,behavior_monitoring,True,False
231,behavior_monitoring,True,False
232,behavior_monitoring,True,False
233,behavior_monitoring,True,False
238,behavior_monitoring,True,False
239,behavior_monitoring,True,False
240,behavior_monitoring,True,True
241,behavior_monitoring,True,False
246,behavior_monitoring,True,False
247,behavior_monitoring,True,False
248,behavior_monitoring,True,False
249,behavior_monitoring,True,False
250,behavior_monitoring,True,False
251,behavior_monitoring,True,False
252,behavior_monitoring,True,False
253,behavior_monitoring,True,True
259,behavior_monitoring,True,False
264,behavior_monitoring,True,False
265,behavior_monitoring,True,False
266,behavior_monitoring,True,False
267,behavior_monitoring,True,True
272,behavior_monitoring,True,False
273,behavior_monitoring,True,False
274,behavior_monitoring,True,False
275,behavior_monitoring,True,True
276,behavior_monitoring,True,True
279,behavior_monitoring,True,False
280,behavior_monitoring,True,False
281,behavior_monitoring,True,False
282,behavior_monitoring,True,False
283,behavior_monitoring,True,False
284,bike_1,True,False
285,bike_1,True,False
286,bike_1,True,False
287,bike_1,True,False
288,bike_1,True,False
289,bike_1,True,False
290,bike_1,True,False
291,bike_1,True,False
292,bike_1,True,False
293,bike_1,True,False
295,bike_1,True,False
296,bike_1,True,False
297,bike_1,True,False
298,bike_1,True,False
303,bike_1,True,False
306,bike_1,True,False
307,bike_1,True,False
308,bike_1,True,False
309,bike_1,True,False
310,bike_1,True,True
311,bike_1,True,False
312,bike_1,True,False
313,bike_1,True,False
314,bike_1,True,False
315,bike_1,True,False
316,bike_1,True,False
317,bike_1,True,True
318,bike_1,True,True
324,bike_1,True,True
326,bike_1,True,False
327,bike_1,True,False
328,bike_1,True,True
329,bike_1,True,False
330,bike_1,True,False
335,bike_1,True,False
338,bike_1,True,True
339,bike_1,True,True
340,bike_1,True,False
341,bike_1,True,False
342,bike_1,True,False
343,bike_1,True,True
344,bike_1,True,True
345,bike_1,True,True
346,bike_1,True,True
347,bike_1,True,True
348,bike_1,True,True
349,bike_1,True,False
350,bike_1,True,False
351,body_builder,True,True
352,body_builder,True,True
353,body_builder,True,True
354,body_builder,True,True
355,body_builder,True,True
356,body_builder,True,True
357,body_builder,True,True
358,body_builder,True,True
359,body_builder,True,True
360,body_builder,True,True
361,body_builder,True,True
362,body_builder,True,True
363,book_2,True,True
364,book_2,True,True
365,book_2,True,True
366,book_2,True,False
367,book_2,True,False
368,browser_web,True,False
369,browser_web,True,False
370,browser_web,True,True
371,browser_web,True,False
372,browser_web,True,True
374,browser_web,True,True
375,browser_web,True,True
376,candidate_poll,True,True
379,candidate_poll,True,True
380,candidate_poll,True,True
381,candidate_poll,True,True
382,candidate_poll,True,True
383,candidate_poll,True,True
384,candidate_poll,True,True
385,candidate_poll,True,True
386,candidate_poll,True,True
387,candidate_poll,True,True
388,candidate_poll,True,True
390,candidate_poll,True,True
391,candidate_poll,True,True
392,candidate_poll,True,True
394,candidate_poll,True,True
395,candidate_poll,True,True
397,candidate_poll,True,True
398,candidate_poll,True,True
399,candidate_poll,True,True
400,candidate_poll,True,True
401,candidate_poll,True,True
402,candidate_poll,True,False
403,candidate_poll,True,False
404,candidate_poll,True,True
405,candidate_poll,True,True
406,candidate_poll,True,False
407,candidate_poll,True,False
408,candidate_poll,True,False
409,candidate_poll,True,False
410,car_1,True,True
411,car_1,True,True
412,car_1,True,True
413,car_1,True,True
415,car_1,True,True
416,car_1,True,True
419,car_1,True,True
420,car_1,True,True
421,car_1,True,True
423,car_1,True,True
424,car_1,True,False
429,car_1,True,True
430,car_1,True,True
431,car_1,True,True
432,car_1,True,False
433,car_1,True,True
434,car_1,True,True
435,chinook_1,True,True
436,chinook_1,True,True
437,chinook_1,True,True
438,chinook_1,True,False
439,chinook_1,True,True
440,chinook_1,True,False
441,chinook_1,True,False
442,cinema,True,True
443,cinema,True,True
444,cinema,True,True
445,cinema,True,True
446,cinema,True,False
447,cinema,True,False
448,cinema,True,True
449,cinema,True,True
451,cinema,True,True
